Bill No.,Bill Date,Party Name,Place,Item Name,Product Cat,Brand,Pack,Qty,Rate (Cost),Rate (Sale),Disc%,Executive,Pay Status,Due Date
KBR10000,2024-07-16,Krishna Traders,Uniara,Parachute Coconut Oil,Personal Care,Marico,500ml,9,64.01,81.28,0.5,Suresh,Paid,
KBR10001,2024-07-11,Sharma Kirana,Tonk,Lizol Floor Cleaner,Household,Godrej Consumer,1L,15,189.52,234.35,2.9,Raju,Paid,
KBR10002,2024-09-28,Meena Provisions,Niwai,Red Label Tea,Beverages,Hindustan Unilever,500g,29,55.89,70.07,2.3,Suresh,Paid,
KBR10003,2024-07-05,Sharma Kirana,Tonk,Maggi Noodles,Snacks,Nestle,70g,10,109.74,134.74,2.2,Suresh,Paid,
KBR10004,2024-04-21,Gupta Distributors,Tonk,Amul Ghee,Dairy,Amul,1L,16,118.17,133.74,3.9,Suresh,Paid,
KBR10005,2024-01-13,Gupta Distributors,Tonk,Britannia Biscuits,Snacks,Britannia,400g,18,131.22,168.79,2.6,Vijay,Paid,
KBR10006,2024-07-15,Krishna Traders,Uniara,Vim Dish Wash,FMCG,Hindustan Unilever,500ml,4,43.8,50.51,0.6,Raju,Unpaid,2024-08-14
KBR10007,2024-10-07,Krishna Traders,Uniara,Britannia Biscuits,Snacks,Britannia,400g,3,64.14,81.24,2.6,Raju,Paid,
KBR10008,2024-11-04,Bajaj Traders,Deoli,Red Label Tea,Beverages,Hindustan Unilever,500g,3,90.15,113.34,0.5,Suresh,Overdue,2024-12-04
KBR10009,2024-03-16,Krishna Traders,Uniara,Britannia Biscuits,Snacks,Britannia,400g,11,51.14,61.33,0.7,Vijay,Paid,
KBR10010,2024-07-05,Patel Store,Sawai Madhopur,Colgate Toothpaste,FMCG,Local Brand,200g,29,161.0,191.33,1.0,Vijay,Overdue,2024-08-04
KBR10011,2024-07-24,Sharma Kirana,Tonk,Lizol Floor Cleaner,Household,Godrej Consumer,1L,28,115.21,136.91,0.2,Raju,Paid,
KBR10012,2024-07-10,Krishna Traders,Uniara,Red Label Tea,Beverages,Hindustan Unilever,500g,19,95.61,121.35,0.4,Suresh,Overdue,2024-08-09
KBR10013,2024-06-09,Krishna Traders,Uniara,Red Label Tea,Beverages,Hindustan Unilever,500g,29,161.04,194.92,2.6,Vijay,Unpaid,2024-07-09
KBR10014,2024-08-13,Patel Store,Sawai Madhopur,Red Label Tea,Beverages,Hindustan Unilever,500g,23,67.16,85.21,2.8,Vijay,Paid,
KBR10015,2024-06-14,Gupta Distributors,Tonk,Colgate Toothpaste,FMCG,Local Brand,200g,4,101.59,121.78,2.0,Raju,Overdue,2024-07-14
KBR10016,2024-11-09,Bajaj Traders,Deoli,Bournvita,Beverages,Nestle,500g,30,188.07,228.15,1.2,Vijay,Overdue,2024-12-09
KBR10017,2024-07-14,Krishna Traders,Uniara,Dettol Handwash,FMCG,Hindustan Unilever,500ml,21,145.3,170.02,2.7,Raju,Paid,
KBR10018,2024-12-07,Meena Provisions,Niwai,Colgate Toothpaste,FMCG,Local Brand,200g,24,88.72,104.34,1.2,Suresh,Overdue,2025-01-06
KBR10019,2024-06-26,Suresh Wholesale,Malpura,Britannia Biscuits,Snacks,Britannia,400g,29,141.72,178.86,2.8,Suresh,Paid,
KBR10020,2024-03-27,Ramesh General Store,Uniara,Parachute Coconut Oil,Personal Care,Marico,500ml,2,49.1,64.19,2.1,Suresh,Overdue,2024-04-26
KBR10021,2024-09-29,Gupta Distributors,Tonk,Maggi Noodles,Snacks,Nestle,70g,29,188.63,228.96,3.0,Suresh,Paid,
KBR10022,2024-01-18,Suresh Wholesale,Malpura,Parle-G Biscuits,Snacks,Parle,200g,5,64.05,76.17,3.2,Vijay,Paid,
KBR10023,2024-02-22,Suresh Wholesale,Malpura,Parachute Coconut Oil,Personal Care,Marico,500ml,24,92.77,121.53,2.4,Raju,Paid,
KBR10024,2024-12-22,Bajaj Traders,Deoli,Parachute Coconut Oil,Personal Care,Marico,500ml,30,75.02,96.46,0.5,Suresh,Paid,
